Year,Month,Division,rolling_avg_goal_diff
2010,11,I1,0.38894557823129255
2010,12,I1,0.4841836734693878
2011,1,I1,0.5358503401360545
2011,2,I1,0.3637286612758311
2011,3,I1,0.2629350104821803
2011,4,I1,0.19817310572027558
2011,5,I1,0.2607351712614871
2011,9,I1,0.3162907268170426
2011,10,I1,0.36771929824561406
2011,11,I1,0.5213793103448277
2011,12,I1,0.5343874404261285
2012,1,I1,0.6013959874346755
2012,2,I1,0.5544611215342924
2012,3,I1,0.4377492877492879
2012,4,I1,0.3275223499361431
2012,5,I1,0.28863346104725424
2012,8,I1,0.22567049808429127
2012,9,I1,0.18222222222222229
2012,10,I1,0.13777777777777786
2012,11,I1,0.3615873015873016
2012,12,I1,0.4468864468864469
2013,1,I1,0.6024420024420025
2013,2,I1,0.6286324786324787
2013,3,I1,0.6286324786324787
2013,4,I1,0.313185324160934
2013,5,I1,0.113185324160934
2013,8,I1,0.2178861788617887
2013,9,I1,0.3152777777777779
2013,10,I1,0.49027777777777787
2013,11,I1,0.3131944444444445
2013,12,I1,0.4312500000000001
2014,1,I1,0.3729166666666668
2014,2,I1,0.34273504273504285
2014,3,I1,0.314957264957265
2014,4,I1,0.1734938503231187
2014,5,I1,0.3863143631436315
2014,8,I1,0.41409214092140934
2014,9,I1,0.4722222222222223
2014,10,I1,0.4333333333333334
2014,11,I1,0.30940170940170947
2014,12,I1,0.20563826854149445
2015,1,I1,0.07627318917641505
2015,2,I1,0.2352925324062846
2015,3,I1,0.3680033416875523
2015,4,I1,0.3960863697705803
2015,5,I1,0.31433198380566807
2015,8,I1,0.46871794871794875
2015,9,I1,0.49500000000000005
2015,10,I1,0.5972222222222222
2015,11,I1,0.4077485380116959
2015,12,I1,0.3005646299657189
2016,1,I1,0.11755809401800654
2016,2,I1,0.15369844489519954
2016,3,I1,0.23032679738562098
2016,4,I1,0.4026495726495727
2016,5,I1,0.4536019536019536
2016,8,I1,0.5424908424908426
2016,9,I1,0.5531746031746033
2016,10,I1,0.4955555555555557
2016,11,I1,0.35111111111111115
2016,12,I1,0.2827350427350428
2017,1,I1,0.3547008547008548
2017,2,I1,0.31464917511429147
2017,3,I1,0.33858079904591537
2017,4,I1,0.23328165374677012
2017,5,I1,0.4344444444444446
2017,8,I1,0.25666666666666677
2017,9,I1,0.30609756097560986
2017,10,I1,0.22137533875338766
2017,11,I1,0.20988108587982443
2017,12,I1,0.167116858237548
2018,1,I1,0.10808908045977023
2018,2,I1,0.21360042735042747
2018,3,I1,0.21595336852689806
2018,4,I1,0.27753962583683955
2018,5,I1,0.2613003095975233
2018,8,I1,0.47543859649122816
2018,9,I1,0.47699009428332745
2018,10,I1,0.29504564983888304
2018,11,I1,0.23188775510204093
2018,12,I1,0.18472222222222232
2019,1,I1,0.22222222222222232
2019,2,I1,0.056410256410256515
2019,3,I1,0.10085470085470098
2019,4,I1,0.27863247863247875
2019,5,I1,0.38611111111111124
2019,8,I1,0.30405982905982915
2019,9,I1,0.19294871794871807
2019,10,I1,0.23076923076923087
2019,11,I1,0.1289821289821291
2019,12,I1,0.20105420105420116
2020,1,I1,0.10490035490035503
2020,2,I1,0.22378147378147387
2020,3,I1,0.06837606837606848
2020,6,I1,0.010683760683760793
2020,7,I1,0.0710955710955712
2020,8,I1,0.15442890442890453
2020,9,I1,0.1287878787878789
2020,10,I1,0.16129032258064527
2020,11,I1,0.08234295415959265
2020,12,I1,0.06193479089428653
2021,1,I1,0.02086304754861405
2021,2,I1,0.2707505869098376
2021,3,I1,0.34244080145719497
2021,4,I1,0.3568376068376069
2021,5,I1,0.21204122674710923
2021,8,I1,0.29409250879839127
2021,9,I1,0.15947712418300666
2021,10,I1,0.2829931972789117
2021,11,I1,0.27346938775510216
2021,12,I1,0.1919879062736207
2022,1,I1,0.01455026455026467
2022,2,I1,-0.009259259259259153
2022,3,I1,0.1722222222222223
2022,4,I1,0.2555555555555557
2022,5,I1,0.1105105105105106
2022,8,I1,0.2034929666508615
2022,9,I1,0.18960407776197263
2022,10,I1,0.3146491228070177
2022,11,I1,0.37722222222222235
2023,1,I1,0.3822222222222223
2023,2,I1,0.27722222222222237
2023,3,I1,0.11055555555555567
2023,4,I1,0.13055555555555567
2023,5,I1,0.24888888888888902
2023,6,I1,0.2600000000000001
2023,8,I1,0.12666666666666676
2023,9,I1,0.22713178294573655
2023,10,I1,0.15415880997276357
2023,11,I1,0.2986032544172081
2023,12,I1,0.31147147147147153
2024,1,I1,0.38629629629629636
2024,2,I1,0.4221548821548822
2024,3,I1,0.11744899980194105
2024,4,I1,0.14893048128342254
2024,5,I1,0.06029411764705891
2024,6,I1,-0.1749999999999999
2024,8,I1,-0.15448717948717938
2024,9,I1,-0.1696832579185519
2024,10,I1,0.24912016088486688
2024,11,I1,0.09527400703871303
2024,12,I1,0.03361823361823372
2025,1,I1,-0.011201445347786701
2025,2,I1,0.10784617369983235
2025,3,I1,0.2537151195687782
2025,4,I1,0.22973137973137983
2025,5,I1,0.07735042735042746
2008,1,SP1,0.5
2008,2,SP1,0.4625
2008,3,SP1,0.5483333333333333
2008,4,SP1,0.47333333333333333
2008,5,SP1,0.43166666666666664
2008,8,SP1,0.39166666666666666
2008,9,SP1,0.4083333333333334
2008,10,SP1,0.46388888888888885
2008,11,SP1,0.36388888888888893
2008,12,SP1,0.5444444444444445
2009,1,SP1,0.5873015873015873
2009,2,SP1,0.528968253968254
2009,3,SP1,0.433061821219716
2009,4,SP1,0.3546491228070176
2009,5,SP1,0.42631578947368426
2009,8,SP1,0.5666666666666668
2009,9,SP1,0.5216666666666668
2009,10,SP1,0.6436274509803922
2009,11,SP1,0.44918300653594784
2009,12,SP1,0.4519607843137255
2010,1,SP1,0.29666666666666675
2010,2,SP1,0.32444444444444454
2010,3,SP1,0.48666666666666675
2010,4,SP1,0.6266666666666668
2010,5,SP1,0.6183333333333334
2010,8,SP1,0.31166666666666676
2010,9,SP1,0.18333333333333343
2010,10,SP1,0.40106837606837614
2010,11,SP1,0.6709870752553679
2010,12,SP1,0.7126537419220348
2011,1,SP1,0.5232520325203253
2011,2,SP1,0.545
2011,3,SP1,0.5783333333333335
2011,4,SP1,0.5156976744186048
2011,5,SP1,0.4396338446313706
2011,8,SP1,0.272967177964704
2011,9,SP1,0.5239361702127661
2011,10,SP1,0.5283333333333334
2011,11,SP1,0.7616666666666667
2011,12,SP1,0.4866666666666668
2012,1,SP1,0.4666666666666668
2012,2,SP1,0.5000000000000001
2012,3,SP1,0.4727272727272729
2012,4,SP1,0.6242424242424244
2012,5,SP1,0.5909090909090909
2012,8,SP1,0.6848484848484849
2012,9,SP1,0.7076923076923078
2012,10,SP1,0.5173697270471466
2012,11,SP1,0.5133046863967401
2012,12,SP1,0.3167234898155435
2013,1,SP1,0.5820460704607048
